hasDate,type,Long,Lat,locationName,CurrencyName,geonameID
GREGORIAN:1680-03-16,meal,1.488333333,48.446666666,Chartres,Sol,3026467
GREGORIAN:1680-03-16,meal,2.295555555,48.696944444,Longjumeau,Sol,2997712
GREGORIAN:1680-05-09,meal,3.123888888,49.178333333,La Ferté-Milon,Sol,3009485
GREGORIAN:1680-05-09,meal,2.887777777,48.959444444,Meaux,Sol,2994798
GREGORIAN:1680-05-10,meal,3.540555555,48.870833333,Montmirail,Sol,299224
GREGORIAN:1680-05-11,meal,3.855277777,48.879722222,Étoges,Sol,3019396
GREGORIAN:1680-05-12,meal,4.364444444,48.956666666,Châlons-en-Champagne,Sol,3027487
GREGORIAN:1680-05-12,meal,4.581388888,49.056388888,Saint-Remy-sur-Bussy,Sol,2977192
GREGORIAN:1680-05-13,meal,5.070833333,49.106111111,Clermont-en-Argonne,Sol,3024636
GREGORIAN:1680-05-13,meal,4.897222222,49.09,Sainte-Menehould,Sol,29804
GREGORIAN:1680-05-14,meal,5.382777777,49.159722222,Verdun,Sol,2969958
GREGORIAN:1680-05-15,meal,5.7275,49.098611111,Harville,Sol,3013882
GREGORIAN:1680-05-15,meal,5.886111111,49.098888888,Mars-la-Tour,Sol,299545
GREGORIAN:1680-05-18,meal,6.649166666,48.763333333,Juvelize,Sol,3012006
GREGORIAN:1680-05-18,meal,5.155555555,48.363888888,Donjeux,Sol,302109
GREGORIAN:1680-05-18,meal,6.176944444,49.119722222,Metz,Sol,299416
GREGORIAN:1680-05-19,meal,6.811944444,48.739166666,Azoudange,Sol,3035521
GREGORIAN:1680-05-21,meal,7.361944444,48.741388888,Zabern,Sol,2975588
GREGORIAN:1680-05-22:1680-05-28,meal,7.752222222,48.573333333,Strasbourg,Reichsthaler,2973783
GREGORIAN:1681-04-29,meal,7.752222222,48.573333333,Strasbourg,Basler Währnung,2973783
GREGORIAN:1681-04-29,meal,7.752222222,48.573333333,Strasbourg,Reichsschilling,2973783
GREGORIAN:1681-05-03,meal,8.4667,49.0,Durlach,Crown,2934469
GREGORIAN:1681-05-03,meal,8.111666666,48.797222222,Hügelsheim,Crown,2898004
