nameLocation,wiki_link,geonameID/mapID,Long,Lat
Murtensee,https://www.wikidata.org/wiki/Q14448,2659528,7.075,46.933333333
Neuenburgersee,https://www.wikidata.org/wiki/Q14375,2659494,6.85,46.9
Zuger See,https://www.wikidata.org/wiki/Q14436,2657883,8.483333333,47.116666666
Lambeth,,6545250,,
Langeais,https://www.wikidata.org/wiki/Q28335215,3007729,0.406111111,47.325555555
Langenbruck,https://www.wikidata.org/wiki/Q64808,2660036,7.769444444,47.349444444
La Réole,,3006979,,
La Rochelle,https://www.wikidata.org/wiki/Q901852,3006787,5.732222222,47.746388888
La Tremblade,https://www.wikidata.org/wiki/Q1106266,3006170,-1.141666666,45.769444444
Lausanne,https://www.wikidata.org/wiki/Q807,2659994,6.633333333,46.533333333
Leeuwarden,https://www.wikidata.org/wiki/Q25390,2751792,5.783333333,53.2
Leiden,https://www.wikidata.org/wiki/Q33456378,2751773,4.49306,52.15833
Le Langon,https://www.wikidata.org/wiki/Q1171614,3003726,-0.949722222,46.437777777
Lengnau,https://www.wikidata.org/wiki/Q69429,2659957,8.330555555,47.522222222
Libourne,https://www.wikidata.org/wiki/Q6544,2998517,-0.243888888,44.915277777
Liestal,https://www.wikidata.org/wiki/Q68972,2659891,7.735,47.483888888
Lillo,,2792358,,
Limoges,https://www.wikidata.org/wiki/Q45656,2998286,1.261666666,45.834444444
London,https://www.wikidata.org/wiki/Q84,2643743,-0.1275,51.507222222
Longjumeau,https://www.wikidata.org/wiki/Q219045,2997712,2.295555555,48.696944444
Lormont,,2997556,,
Luzern,https://www.wikidata.org/wiki/Q4191,2659811,8.3059,47.0523
Lyon,https://www.wikidata.org/wiki/Q456,2996944,4.841388888,45.758888888
Mainz,https://www.wikidata.org/wiki/Q1720,2874225,8.266666666,50.0
Mannheim,https://www.wikidata.org/wiki/Q2119,2873891,8.466111111,49.487777777
Marans (Charente-Maritime),https://www.wikidata.org/wiki/Q627191,2996103,-0.992777777,46.308333333
Marburg,https://www.wikidata.org/wiki/Q3869,2873759,8.766666666,50.816666666
Marennes,,2995854,,
Mars-la-Tour,https://www.wikidata.org/wiki/Q228791,2995450,5.886111111,49.098888888
Saint-Mathurin-sur-Loire,https://www.wikidata.org/wiki/Q1384834,2978197,-0.318888888,47.413055555
Meaux,https://www.wikidata.org/wiki/Q207620,2994798,2.887777777,48.959444444
Meinbrexen,,2872260,,
Meissenheim,https://www.wikidata.org/wiki/Q550767,2872149,7.773611111,48.41
Meschers-sur-Gironde,https://www.wikidata.org/wiki/Q947487,2994274,-0.953888888,45.5575
Metz,https://www.wikidata.org/wiki/Q22690,2994160,6.176944444,49.119722222
Middelburg,https://www.wikidata.org/wiki/Q52101,2750896,3.613611111,51.499722222
Minden,https://www.wikidata.org/wiki/Q3846,2871039,8.916666666,52.288333333
Monnetier,,2993250,,
Montaigu,https://www.wikidata.org/wiki/Q831401,2993092,-1.31,46.972777777
Montluel,https://www.wikidata.org/wiki/Q239858,2992290,5.056388888,45.851666666
Montmirail,https://www.wikidata.org/wiki/Q819568,2992240,3.540555555,48.870833333
Morges,https://www.wikidata.org/wiki/Q69401,2659587,6.498611111,46.509447222
Mornex,https://www.wikidata.org/wiki/Q62658598,12277369,,
Mortagne-sur-Gironde,https://www.wikidata.org/wiki/Q752757,2991701,-0.785,45.482777777
Moudon,https://www.wikidata.org/wiki/Q70202,2659569,6.79743,46.66871
Moulins-lès-Metz,https://www.wikidata.org/wiki/Q22396,2991470,6.108888888,49.106388888
Murten,https://www.wikidata.org/wiki/Q68283,2659529,7.116944444,46.928055555
Nantes,https://www.wikidata.org/wiki/Q12191,2990969,-1.553888888,47.217222222
Nedde,,2990825,,
Nidau,https://www.wikidata.org/wiki/Q13209,2659474,7.240277777,47.125555555
Niederbipp,https://www.wikidata.org/wiki/Q69168,2659470,7.695833333,47.265833333
Niederdorf,https://www.wikidata.org/wiki/Q64710,8533584,7.753333333,47.407777777
Niederlanden,,2750405,,
Nieuwpoort,https://www.wikidata.org/wiki/Q623310,2790150,2.751388888,51.129444444
Nijmegen,https://www.wikidata.org/wiki/Q13188714,2750053,5.85278,51.8425
Nyon,https://www.wikidata.org/wiki/Q64027,2659422,6.23888,46.381961666
Oberbipp,https://www.wikidata.org/wiki/Q70271,2659408,7.659166666,47.261388888
Oberdorf,https://www.wikidata.org/wiki/Q64821,2659399,7.751388888,47.391944444
Oppenheim,https://www.wikidata.org/wiki/Q518690,2857167,8.360277777,49.855555555
Orléans,https://www.wikidata.org/wiki/Q6548,2989317,1.904166666,47.902222222
Ostende,https://www.wikidata.org/wiki/Q12996,2789786,2.919444444,51.225833333
Ottenstein,,2856070,,
Oudon,https://www.wikidata.org/wiki/Q753750,2989058,-1.286944444,47.346388888
Paris,https://www.wikidata.org/wiki/Q90,2988507,2.352222222,48.856666666
Payerne,https://www.wikidata.org/wiki/Q69525,2659243,6.933333333,46.816666666
Petit Salève,https://www.wikidata.org/wiki/Q1548448,12440420,6.23333333,46.16666667
Pieterlen,https://www.wikidata.org/wiki/Q67849,2659203,7.338888888,47.175
Pissot,https://www.wikidata.org/wiki/Q109572465,2987010,,
Plateau de Cordouan,,3023678,,
Pauillac,,2988350,,
Prangins,https://www.wikidata.org/wiki/Q69293,2659152,6.25,46.4
Remouillé,https://www.wikidata.org/wiki/Q49363625,2984038,-1.376944444,47.055833333
Rheindürkheim,https://www.wikidata.org/wiki/Q2593936,2847647,8.35778,49.6983
Rheinhausen,https://www.wikidata.org/wiki/Q632820,2847631,7.7125,48.226666666
Rhone,https://www.wikidata.org/wiki/Q602,2983752,4.8442,43.3342
Richmond,https://www.wikidata.org/wiki/Q2500974,3333187,-0.301,51.456
Richterswil,,2659050,,
Rifferswil,https://www.wikidata.org/wiki/Q66598,6295516,8.466666666,47.233055555
Rigi,https://www.wikidata.org/wiki/Q15291,2659027,8.466666666,47.05
La Roche-sur-Yon,,3006767,,
Rolle,https://www.wikidata.org/wiki/Q69570,2658989,6.33167,46.45755
Romanshorn,https://www.wikidata.org/wiki/Q65125,2658985,9.35639,47.56354
Rotterdam,https://www.wikidata.org/wiki/Q34370,2747891,4.47917,51.9225
Royan,https://www.wikidata.org/wiki/Q81909,2982343,-1.043055555,45.623055555
Saarburg,https://www.wikidata.org/wiki/Q22544,2975967,7.053888888,48.734722222
Sababurg,,3339545,,
Sachseln,,2658894,,
Saint-Dyé-sur-Loire,https://www.wikidata.org/wiki/Q829633,2980796,1.488611111,47.655833333
Sainte-Foy-la-Grande,https://www.wikidata.org/wiki/Q320233,2980589,0.217222222,44.840555555
Sainte-Hermine,https://www.wikidata.org/wiki/Q908541,2980541,-1.055555555,46.556111111
Sainte-Menehould,https://www.wikidata.org/wiki/Q213307,2980400,4.897222222,49.09
Saintes,,2980340,,
Saint-Fulgent,https://www.wikidata.org/wiki/Q1414723,2980059,-1.17798,46.85226
Saint-Hilaire-de-Loulay,,2979545,,
Saint-Laurent-Nouan,https://www.wikidata.org/wiki/Q839446,2978911,1.6,47.71667
Saint-Macaire,https://www.wikidata.org/wiki/Q471984,2978660,-0.223611111,44.566388888
Saintonge,,2977837,,
Saint-Remy-sur-Bussy,https://www.wikidata.org/wiki/Q1224707,2977192,4.581388888,49.056388888
Saint-Xandre,,2976556,,
Sas van Gent,https://www.wikidata.org/wiki/Q81086,2747749,3.79861,51.2275
Saumur,https://www.wikidata.org/wiki/Q193821,2975758,-0.078055555,47.259166666
Savoyer Voralpen,https://www.wikidata.org/wiki/Q526310,,6.92305556,46.16083333
Schaffhausen,,2658761,,
Schröck,https://www.wikidata.org/wiki/Q1567134,2933101,8.83278,50.7878
Schweiz,https://www.wikidata.org/wiki/Q39,2658434,8.231973,46.798562
Schwyz,,2658665,,
Selzach,https://www.wikidata.org/wiki/Q67935,2658634,7.455555555,47.205555555
Sempach,,2658631,,
Seudre,,2974720,,
Sluis,https://www.wikidata.org/wiki/Q2065987,2747117,3.3883,51.3089
Solothurn,https://www.wikidata.org/wiki/Q68965,2658564,7.5375,47.208055555
Speyer,https://www.wikidata.org/wiki/Q6829,6554821,8.431111111,49.319444444
Spittel,,10391435,7.75527,47.36557
Sainte-Orse,https://www.wikidata.org/wiki/Q544433,6429597,1.075555555,45.203611111
Strasbourg,https://www.wikidata.org/wiki/Q6602,2973783,7.752222222,48.573333333
St-Yrieix-la Perche,https://www.wikidata.org/wiki/Q104875379,2976546,1.20346,45.515
Talmont-sur-Gironde,https://www.wikidata.org/wiki/Q663232,2973474,-0.908055555,45.535277777
Thiers,,2972856,,
Tours,https://www.wikidata.org/wiki/Q288,2972191,0.688333333,47.392777777
Trendelburg,,2821336,,
Utrecht,,2745912,,
Verdun,https://www.wikidata.org/wiki/Q154748,2969958,5.382777777,49.159722222
Versoix,https://www.wikidata.org/wiki/Q63979,2658151,6.166666666,46.283333333
Villedoux,,2968793,,
Vlissingen,https://www.wikidata.org/wiki/Q33512335,2745392,3.57361,51.4425
Waldenburg,https://www.wikidata.org/wiki/Q67092,2658071,7.75,47.383055555
Wiedlisbach,,2658006,7.6461,47.25194
Windsor,https://www.wikidata.org/wiki/Q464955,2633842,-0.6,51.483333333
Xanten,https://www.wikidata.org/wiki/Q162890,2805385,6.453888888,51.662222222
Zabern,https://www.wikidata.org/wiki/Q22741,2975588,7.361944444,48.741388888
Zelzate,https://www.wikidata.org/wiki/Q21760359,2783278,3.810022222,51.198702777
Zug,https://www.wikidata.org/wiki/Q68144,2657908,8.516944444,47.168055555
Zürich,https://www.wikidata.org/wiki/Q72,2657896,8.541111111,47.374444444
Zutphen,https://www.wikidata.org/wiki/Q109535,2743608,6.195,52.14
